Found 4 GPU(s)

GPU 0: NVIDIA A100-SXM4-80GB
  Clock rate: 1.41 GHz
  L2 Cache: 40 MB

GPU 1: NVIDIA A100-SXM4-80GB
  Clock rate: 1.41 GHz

P2P Access (GPU 0 -> GPU 1): Supported

Using PTX cache bypass instructions:
  ld.global.cv.f32 - load with cache volatile (bypasses cache on read)
  st.global.wb.f32 - store with write-back (bypasses cache on write)

P2P Test Types:
  PUT: GPU 0 kernel reads local memory, writes to GPU 1 (local read + remote write)
  GET: GPU 0 kernel reads GPU 1 memory, writes local (remote read + local write)

P2P enabled: GPU 0 -> GPU 1


--------------------------------------------------
Testing Stride: 4 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 4B] ===
size(B)        	latency(us)    	bw(MB/s)       
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331524       	11.506563      
8              	0.331670       	23.002945      
16             	0.331377       	46.046634      
32             	0.332257       	91.849240      
64             	0.333700       	182.904180     
128            	0.320396       	380.998021     
256            	0.219980       	1109.828811    
512            	0.223575       	2183.966344    
1024           	0.285816       	3416.757134    
2048           	0.378430       	5161.127133    
4096           	0.457178       	8544.268883    
8192           	0.656126       	11907.008275   
16384          	1.380704       	11316.687922   
32768          	2.591367       	12059.271808   
65536          	5.376547       	11624.561627   
131072         	10.782881      	11592.449287   

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 8B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.890144       	4.285482       
8              	0.872683       	8.742460       
16             	0.876009       	17.418534      
32             	0.876327       	34.824429      
64             	0.885278       	68.944654      
128            	0.884984       	137.935034     
256            	0.902935       	270.385693     
512            	0.892883       	546.858951     
1024           	0.893348       	1093.149022    
2048           	0.900342       	2169.313629    
4096           	0.922475       	4234.532410    
8192           	1.744412       	4478.586900    
16384          	3.469455       	4503.589655    
32768          	6.887454       	4537.235289    
65536          	13.813940      	4524.415245    
131072         	27.886036      	4482.530300    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 8B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331670       	11.501473      
8              	0.331499       	23.014824      
16             	0.331548       	46.022858      
32             	0.229543       	132.949475     
64             	0.231083       	264.126102     
128            	0.320201       	381.230816     
256            	0.320641       	761.414854     
512            	0.324456       	1504.923518    
1024           	0.332697       	2935.286726    
2048           	0.379261       	5149.811791    
4096           	38.108119      	102.504402     
8192           	92.901296      	84.094629      
16384          	215.132624     	72.629617      
32768          	428.000611     	73.013914      
65536          	857.007899     	72.928149      
131072         	1712.139472    	73.008071      

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 8B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331719       	11.499777      
8              	0.331695       	23.001249      
16             	0.331670       	46.005890      
32             	0.332111       	91.889821      
64             	0.333749       	182.877375     
128            	0.320787       	380.533283     
256            	0.321056       	760.428866     
512            	0.247053       	1976.422522    
1024           	0.225630       	4328.163952    
2048           	0.322377       	6058.510184    
4096           	0.399902       	9768.013852    
8192           	0.657594       	11880.439027   
16384          	1.405234       	11119.148103   
32768          	2.567376       	12171.961326   
65536          	5.392296       	11590.609141   
131072         	10.867205      	11502.497975   

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 8B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.576718       	6.614493       
8              	0.577256       	13.216656      
16             	0.576963       	26.446757      
32             	0.580240       	52.594781      
64             	0.588726       	103.673308     
128            	0.578454       	211.028414     
256            	0.588970       	414.521038     
512            	0.595304       	820.221030     
1024           	0.593764       	1644.698737    
2048           	0.650526       	3002.378994    
4096           	0.658254       	5934.260756    
8192           	1.322499       	5907.375132    
16384          	2.552556       	6121.316132    
32768          	5.083786       	6146.993881    
65536          	9.935681       	6290.459547    
131072         	19.879457      	6287.898080    

--------------------------------------------------
Testing Stride: 16 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 16B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331817       	11.496386      
8              	0.331377       	23.023317      
16             	0.332233       	45.928000      
32             	0.334116       	91.338294      
64             	0.229054       	266.466746     
128            	0.222695       	548.150129     
256            	0.290242       	841.161961     
512            	0.334556       	1459.489789    
1024           	0.405405       	2408.858094    
2048           	0.403130       	4844.896946    
4096           	0.569259       	6861.990914    
8192           	1.148936       	6799.768519    
16384          	2.269797       	6883.875469    
32768          	4.537148       	6887.585973    
65536          	9.062534       	6896.526134    
131072         	18.094008      	6908.364240    

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 16B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.871533       	4.376995       
8              	0.872585       	8.743440       
16             	0.875348       	17.431673      
32             	0.893006       	34.174004      
64             	0.890046       	68.575247      
128            	0.904231       	134.999056     
256            	0.906016       	269.466088     
512            	0.913255       	534.660320     
1024           	0.899413       	1085.777541    
2048           	0.948178       	2059.871586    
4096           	1.051259       	3715.781010    
8192           	1.894693       	4123.359127    
16384          	3.760577       	4154.947324    
32768          	7.591416       	4116.491577    
65536          	15.101027      	4138.791315    
131072         	30.457960      	4104.017421    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 16B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331597       	11.504017      
8              	0.331890       	22.987690      
16             	0.332111       	45.944911      
32             	0.333994       	91.371734      
64             	0.333358       	183.092036     
128            	0.328907       	371.139496     
256            	0.290193       	841.303738     
512            	0.334776       	1458.530230    
1024           	0.300929       	3245.155679    
2048           	15.047738      	129.795257     
4096           	39.180582      	99.698621      
8192           	89.844730      	86.955573      
16384          	183.478283     	85.159942      
32768          	412.179335     	75.816513      
65536          	800.587601     	78.067659      
131072         	1604.155221    	77.922634      

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 16B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330961       	11.526119      
8              	0.331303       	23.028415      
16             	0.331621       	46.012676      
32             	0.333040       	91.633409      
64             	0.332820       	183.388018     
128            	0.328491       	371.609223     
256            	0.329274       	741.452032     
512            	0.333676       	1463.340685    
1024           	0.302030       	3233.331225    
2048           	0.331719       	5887.885672    
4096           	0.578772       	6749.199801    
8192           	1.141795       	6842.296200    
16384          	2.271851       	6877.650814    
32768          	4.531964       	6895.465485    
65536          	9.063561       	6895.744572    
131072         	18.107435      	6903.241839    

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 16B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.601467       	6.342318       
8              	0.601614       	12.681542      
16             	0.604060       	25.260400      
32             	0.613255       	49.763270      
64             	0.616850       	98.946499      
128            	0.622597       	196.066269     
256            	0.622206       	392.379143     
512            	0.635730       	768.063870     
1024           	0.669724       	1458.157408    
2048           	0.704793       	2771.202375    
4096           	0.832135       	4694.250353    
8192           	1.524113       	5125.930665    
16384          	2.947591       	5300.938794    
32768          	5.708657       	5474.141809    
65536          	11.397065      	5483.867853    
131072         	22.569381      	5538.477042    

--------------------------------------------------
Testing Stride: 32 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 32B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330912       	11.527823      
8              	0.331768       	22.996163      
16             	0.333407       	45.766294      
32             	0.332600       	91.754689      
64             	0.341306       	178.828285     
128            	0.340401       	358.607305     
256            	0.350648       	696.255416     
512            	0.420959       	1159.926818    
1024           	0.398997       	2447.541565    
2048           	0.558058       	3499.858944    
4096           	1.144094       	3414.273919    
8192           	2.218929       	3520.842977    
16384          	4.420934       	3534.320857    
32768          	8.996625       	3473.524759    
65536          	18.051504      	3462.315377    
131072         	36.009318      	3471.323759    

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 32B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.918807       	4.151796       
8              	0.913426       	8.352502       
16             	0.923233       	16.527559      
32             	0.936904       	32.572795      
64             	0.972487       	62.761915      
128            	0.955857       	127.707690     
256            	0.979579       	249.230063     
512            	0.972878       	501.893374     
1024           	0.972340       	1004.342177    
2048           	1.103595       	1769.784188    
4096           	1.299707       	3005.486170    
8192           	2.507850       	3115.217805    
16384          	4.994571       	3128.396939    
32768          	9.903057       	3155.591254    
65536          	19.715138      	3170.152775    
131072         	39.447322      	3168.782908    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 32B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.288799       	13.208821      
8              	0.229420       	33.255084      
16             	0.241453       	63.195775      
32             	0.332404       	91.808694      
64             	0.341208       	178.879554     
128            	0.340426       	358.581543     
256            	0.350404       	696.741357     
512            	0.396747       	1230.710739    
1024           	3.279433       	297.783980     
2048           	9.414527       	207.458648     
4096           	22.229176      	175.726263     
8192           	47.380362      	164.888989     
16384          	91.661017      	170.465051     
32768          	184.161922     	169.687629     
65536          	369.258767     	169.257999     
131072         	737.038469     	169.597660     

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 32B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331034       	11.523565      
8              	0.331646       	23.004641      
16             	0.333162       	45.799889      
32             	0.332428       	91.801940      
64             	0.341135       	178.918026     
128            	0.232746       	524.477785     
256            	0.248031       	984.313760     
512            	0.347347       	1405.746695    
1024           	0.421595       	2316.354813    
2048           	0.562705       	3470.958375    
4096           	1.133456       	3446.319341    
8192           	2.232575       	3499.322215    
16384          	4.440695       	3518.593733    
32768          	9.022279       	3463.648044    
65536          	17.995647      	3473.062152    
131072         	36.039423      	3468.424024    

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 32B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.600954       	6.347738       
8              	0.604598       	12.618961      
16             	0.612497       	24.912433      
32             	0.616875       	49.471288      
64             	0.634091       	96.256076      
128            	0.632600       	192.966137     
256            	0.641477       	380.591314     
512            	0.712986       	684.839827     
1024           	0.735950       	1326.941170    
2048           	0.806456       	2421.860785    
4096           	1.151113       	3393.455618    
8192           	2.278577       	3428.675500    
16384          	4.521374       	3455.807582    
32768          	9.071362       	3444.907098    
65536          	18.138640      	3445.682759    
131072         	36.278552      	3445.561975    

--------------------------------------------------
Testing Stride: 64 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 64B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330717       	11.534643      
8              	0.331499       	23.014824      
16             	0.329249       	46.344194      
32             	0.335437       	90.978694      
64             	0.341477       	178.738633     
128            	0.340157       	358.865129     
256            	0.391954       	622.880773     
512            	0.403204       	1211.003840    
1024           	0.379188       	2575.404104    
2048           	0.770164       	2535.986322    
4096           	1.485889       	2628.897635    
8192           	2.955735       	2643.166680    
16384          	6.004231       	2602.331648    
32768          	11.999364      	2604.304663    
65536          	23.968403      	2607.599677    
131072         	47.940915      	2607.376203    

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 64B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.910100       	4.191513       
8              	0.919516       	8.297187       
16             	0.921912       	16.551234      
32             	0.956640       	31.900804      
64             	0.954610       	63.937274      
128            	0.978968       	124.692857     
256            	0.986085       	247.585877     
512            	1.017241       	480.005297     
1024           	1.294693       	754.281085     
2048           	1.200831       	1626.477155    
4096           	2.124236       	1838.896644    
8192           	4.141477       	1886.404234    
16384          	8.232477       	1897.970596    
32768          	16.405380      	1904.862883    
65536          	32.759257      	1907.857705    
131072         	65.498899      	1908.429011    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 64B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330888       	11.528675      
8              	0.331573       	23.009732      
16             	0.274052       	55.678376      
32             	0.233578       	130.652682     
64             	0.260602       	234.208665     
128            	0.340254       	358.761955     
256            	0.392272       	622.375945     
512            	0.404671       	1206.612698    
1024           	0.483150       	2021.241174    
2048           	1.221081       	1599.504932    
4096           	2.776204       	1407.046948    
8192           	5.722206       	1365.295152    
16384          	12.259526      	1274.519143    
32768          	24.567792      	1271.990599    
65536          	50.032722      	1249.182487    
131072         	98.725312      	1266.139328    

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 64B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331010       	11.524416      
8              	0.331548       	23.011429      
16             	0.329323       	46.333869      
32             	0.335045       	91.084947      
64             	0.341208       	178.879554     
128            	0.339888       	359.149164     
256            	0.391074       	624.283044     
512            	0.385547       	1266.464974    
1024           	0.378454       	2580.396809    
2048           	0.775569       	2518.313665    
4096           	1.532673       	2548.651888    
8192           	2.971729       	2628.940904    
16384          	5.992981       	2607.216602    
32768          	11.993495      	2605.579164    
65536          	23.984397      	2605.860784    
131072         	47.994277      	2604.477178    

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 64B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.602225       	6.334334       
8              	0.609782       	12.511669      
16             	0.612424       	24.915417      
32             	0.628736       	48.538013      
64             	0.635045       	96.111508      
128            	0.636757       	191.706229     
256            	0.684544       	356.647142     
512            	0.690487       	707.155214     
1024           	0.759990       	1284.967197    
2048           	0.879530       	2220.645124    
4096           	1.556371       	2509.845420    
8192           	3.007166       	2597.961379    
16384          	6.017682       	2596.514917    
32768          	12.030496      	2597.565289    
65536          	24.040988      	2599.726765    
131072         	47.982245      	2605.130291    

--------------------------------------------------
Testing Stride: 128 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 128B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330790       	11.532084      
8              	0.328002       	23.260210      
16             	0.333676       	45.729396      
32             	0.336733       	90.628497      
64             	0.284862       	214.262323     
128            	0.281193       	434.115070     
256            	0.375446       	650.267728     
512            	0.495867       	984.702126     
1024           	0.747371       	1306.663633    
2048           	1.394351       	1400.741581    
4096           	2.459281       	1588.370749    
8192           	4.925483       	1586.138861    
16384          	10.177452      	1535.256611    
32768          	20.108535      	1554.066463    
65536          	40.370384      	1548.164617    
131072         	81.252091      	1538.421947    

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 128B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.910761       	4.188474       
8              	0.913549       	8.351384       
16             	0.915016       	16.675982      
32             	0.931083       	32.776418      
64             	0.957349       	63.754344      
128            	1.004231       	121.556026     
256            	1.031621       	236.657188     
512            	1.145170       	426.383213     
1024           	1.191196       	819.816881     
2048           	1.281878       	1523.643186    
4096           	2.408339       	1621.968201    
8192           	4.930472       	1584.533895    
16384          	9.829323       	1589.631420    
32768          	19.691930      	1586.944534    
65536          	39.481462      	1583.021401    
131072         	78.713280      	1588.042078    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 128B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331132       	11.520160      
8              	0.328051       	23.256742      
16             	0.333700       	45.726045      
32             	0.336684       	90.641663      
64             	0.345243       	176.788804     
128            	0.281145       	434.190595     
256            	0.349792       	697.959180     
512            	0.496063       	984.313760     
1024           	0.728247       	1340.977924    
2048           	1.386525       	1408.647698    
4096           	2.723893       	1434.068616    
8192           	6.072096       	1286.623296    
16384          	12.168281      	1284.076224    
32768          	25.274786      	1236.410072    
65536          	50.737295      	1231.835473    
131072         	102.448765     	1220.122078    

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 128B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330888       	11.528675      
8              	0.328075       	23.255009      
16             	0.333627       	45.736101      
32             	0.336879       	90.589021      
64             	0.345219       	176.801328     
128            	0.383737       	318.109431     
256            	0.429567       	568.341028     
512            	0.458914       	1063.992556    
1024           	0.667425       	1463.179826    
2048           	1.385424       	1409.766659    
4096           	2.454023       	1591.774005    
8192           	5.146124       	1518.132945    
16384          	9.928198       	1573.800263    
32768          	20.002421      	1562.310872    
65536          	40.906456      	1527.876174    
131072         	79.780215      	1566.804497    

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 128B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.602250       	6.334077       
8              	0.598753       	12.742145      
16             	0.612913       	24.895534      
32             	0.615627       	49.571516      
64             	0.631719       	96.617535      
128            	0.666324       	183.199555     
256            	0.713866       	341.997607     
512            	0.763414       	639.602137     
1024           	0.852238       	1145.880413    
2048           	1.304696       	1496.996781    
4096           	2.585155       	1511.031081    
8192           	5.020372       	1556.159667    
16384          	10.060920      	1553.038958    
32768          	20.053999      	1558.292724    
65536          	40.544607      	1541.512025    
131072         	81.410271      	1535.432787    

--------------------------------------------------
Testing Stride: 256 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 256B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330863       	11.529527      
8              	0.329518       	23.153180      
16             	0.333627       	45.736101      
32             	0.339007       	90.020471      
64             	0.347738       	175.520609     
128            	0.380264       	321.014540     
256            	0.384153       	635.530313     
512            	0.403155       	1211.150762    
1024           	0.570042       	1713.142590    
2048           	1.233138       	1583.866118    
4096           	2.524578       	1547.288216    
8192           	4.972952       	1570.998530    
16384          	9.872561       	1582.669456    
32768          	20.198924      	1547.112118    
65536          	40.668990      	1536.797448    
131072         	80.870042      	1545.689820    

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 256B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.920690       	4.143304       
8              	0.912326       	8.362577       
16             	0.921937       	16.550795      
32             	0.934360       	32.661461      
64             	0.958865       	63.653528      
128            	0.994938       	122.691421     
256            	1.095084       	222.942297     
512            	1.184422       	412.252902     
1024           	1.209440       	807.450168     
2048           	1.290682       	1513.249986    
4096           	2.403448       	1625.269010    
8192           	4.939056       	1581.779999    
16384          	9.890878       	1579.738427    
32768          	19.742553      	1582.875310    
65536          	39.418562      	1585.547438    
131072         	78.823722      	1585.817017    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 256B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330888       	11.528675      
8              	0.329469       	23.156617      
16             	0.333578       	45.742807      
32             	0.339007       	90.020471      
64             	0.347689       	175.545301     
128            	0.380435       	320.870087     
256            	0.398239       	613.050243     
512            	0.405209       	1205.010581    
1024           	0.580607       	1681.969615    
2048           	1.281707       	1523.846691    
4096           	2.974370       	1313.303206    
8192           	6.031964       	1295.183501    
16384          	12.634214      	1236.721201    
32768          	25.666153      	1217.556830    
65536          	50.920274      	1227.408951    
131072         	102.878503     	1215.025452    

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 256B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330888       	11.528675      
8              	0.329640       	23.144591      
16             	0.333676       	45.729396      
32             	0.339032       	90.013977      
64             	0.347762       	175.508266     
128            	0.380484       	320.828839     
256            	0.324089       	753.313474     
512            	0.415554       	1175.012966    
1024           	0.582025       	1677.870525    
2048           	1.120812       	1742.598325    
4096           	2.530545       	1543.639586    
8192           	5.046124       	1548.218076    
16384          	9.989802       	1564.095079    
32768          	19.753583      	1581.991497    
65536          	40.009269      	1562.138023    
131072         	78.789851      	1586.498752    

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 256B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.601761       	6.339225       
8              	0.609880       	12.509662      
16             	0.612693       	24.904478      
32             	0.625703       	48.773257      
64             	0.633774       	96.304362      
128            	0.666006       	183.287008     
256            	0.711739       	343.019969     
512            	0.780166       	625.868164     
1024           	0.801810       	1217.947924    
2048           	1.237540       	1578.232145    
4096           	2.534556       	1541.196882    
8192           	4.968966       	1572.258848    
16384          	10.060773      	1553.061609    
32768          	20.005380      	1562.079778    
65536          	39.828124      	1569.242870    
131072         	80.262949      	1557.381095    

--------------------------------------------------
Testing Stride: 512 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 512B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330888       	11.528675      
8              	0.328100       	23.253275      
16             	0.336048       	45.406585      
32             	0.336782       	90.615334      
64             	0.267474       	228.191235     
128            	0.271851       	449.033382     
256            	0.366495       	666.149083     
512            	0.439985       	1109.767123    
1024           	0.570286       	1712.407935    
2048           	1.282465       	1522.945867    
4096           	2.365419       	1651.398467    
8192           	5.067694       	1541.628261    
16384          	9.910296       	1576.643133    
32768          	20.039521      	1559.418537    
65536          	38.674713      	1616.043035    
131072         	76.663267      	1630.507079    

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 512B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.917559       	4.157439       
8              	0.910956       	8.375149       
16             	0.916875       	16.642178      
32             	0.930986       	32.779862      
64             	0.958498       	63.677890      
128            	0.983737       	124.088380     
256            	1.083615       	225.302087     
512            	1.067694       	457.323293     
1024           	1.131988       	862.696667     
2048           	1.262558       	1546.958533    
4096           	2.427904       	1608.897957    
8192           	4.981952       	1568.160565    
16384          	9.925214       	1574.273363    
32768          	19.782905      	1579.646641    
65536          	39.480240      	1583.070430    
131072         	79.064661      	1580.984450    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 512B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330863       	11.529527      
8              	0.328051       	23.256742      
16             	0.336195       	45.386767      
32             	0.336782       	90.615334      
64             	0.343800       	177.530768     
128            	0.375128       	325.409419     
256            	0.316508       	771.357607     
512            	0.396160       	1232.534126    
1024           	0.702935       	1389.264886    
2048           	1.481242       	1318.572204    
4096           	3.115383       	1253.858782    
8192           	6.399707       	1220.759103    
16384          	13.253754      	1178.911275    
32768          	26.331915      	1186.772786    
65536          	52.811519      	1183.453942    
131072         	107.418317     	1163.674902    

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 512B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.330863       	11.529527      
8              	0.328051       	23.256742      
16             	0.336072       	45.403281      
32             	0.336733       	90.628497      
64             	0.343800       	177.530768     
128            	0.375177       	325.366996     
256            	0.420567       	580.503004     
512            	0.379139       	1287.868175    
1024           	0.621399       	1571.554985    
2048           	1.275960       	1530.710339    
4096           	2.352996       	1660.117680    
8192           	5.018269       	1556.811869    
16384          	9.851162       	1586.107360    
32768          	19.811519      	1577.365191    
65536          	39.899046      	1566.453485    
131072         	81.515798      	1533.445078    

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 512B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.601639       	6.340513       
8              	0.599389       	12.728628      
16             	0.613940       	24.853883      
32             	0.617388       	49.430135      
64             	0.631548       	96.643724      
128            	0.703057       	173.627907     
256            	0.750648       	325.239791     
